kms_driven,owner,age,power,brand,actual_price,predicted_price
30000.0,1,9.0,150.0,5,60000.0,51611.33333333333
16880.0,2,2.0,160.0,7,70000.0,65270.64
27988.0,1,14.0,150.0,6,35000.0,16565.84
39028.0,1,10.0,250.0,5,68000.0,66399.38
17853.0,1,8.0,100.0,6,23000.0,25722.561904761904
50000.0,1,6.0,150.0,4,30000.0,57223.79333333333
109521.0,1,10.0,150.0,7,28000.0,19109.0
34205.0,1,9.0,150.0,4,30000.0,45828.869047619046
20000.0,1,7.0,150.0,4,43100.0,51860.33333333333
14704.0,1,6.0,350.0,2,85000.0,93848.0
4159.0,2,4.0,390.0,10,190000.0,213364.6
32500.0,1,5.0,390.0,10,125000.0,146479.0
24000.0,2,6.0,390.0,10,145000.0,119078.0
11976.0,3,6.0,500.0,2,119000.0,106790.0
8000.0,1,5.0,220.0,7,70000.0,66724.33333333333
49000.0,2,8.0,150.0,5,40000.0,55103.57
27235.0,1,4.0,350.0,2,99650.0,102821.66666666666
18500.0,1,9.0,100.0,7,30000.0,24285.0
29850.0,1,7.0,350.0,2,80000.0,83175.0
3538.0,1,5.0,350.0,2,125000.0,126809.73
1400.0,1,6.0,500.0,2,140900.0,120056.28
16750.0,1,10.0,223.0,6,22000.0,31661.9
2500.0,1,4.0,150.0,4,110000.0,106885.0
33907.0,1,4.0,100.0,7,30000.0,29012.65
24300.0,1,3.0,350.0,2,110000.0,133350.0
40000.0,2,22.0,350.0,2,67000.0,52590.0
30711.0,2,9.0,200.0,7,40000.0,49566.0
9500.0,1,5.0,200.0,10,140000.0,140704.0
750.0,1,2.0,765.0,3,875000.0,793309.96
48824.0,1,12.0,125.0,5,22000.0,19139.0
26000.0,1,6.0,200.0,7,85000.0,84562.0
33500.0,2,7.0,223.0,6,34154.0,44068.45
51855.0,2,12.0,150.0,7,12000.0,17206.04
27000.0,2,10.0,125.0,5,17000.0,21144.96
16000.0,1,3.0,150.0,7,50000.0,52371.0
67987.0,2,5.0,150.0,6,29000.0,46568.65
15660.0,1,6.0,110.0,5,23000.0,34570.26
12551.0,1,9.0,150.0,4,45000.0,40552.15
